2026-05-08 13:42:09 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 0 for shard 3 (1 batches)
2026-05-08 13:42:09 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-0] Reusing existing inference engine (config hash: b2e2162d)
2026-05-08 13:42:19 | Controller | INFO | controller.py:1192 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 1 completed all 4 shards
2026-05-08 13:42:19 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 1 completed shard 3 (1 batches, 15.23s)
2026-05-08 13:42:19 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 1 for shard 3 (1 batches)
2026-05-08 13:42:19 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-1] Reusing existing inference engine (config hash: b2e2162d)
2026-05-08 13:42:22 | Controller | INFO | controller.py:1192 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 2 completed all 4 shards
2026-05-08 13:42:22 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 2 completed shard 3 (1 batches, 12.73s)
2026-05-08 13:42:22 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 0 for shard 3 (1 batches)
2026-05-08 13:42:22 | QueryProcessingActor-0 | INFO | query_actor.py:142 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-0] Cleaning up old inference engine (hash: b2e2162d)
2026-05-08 13:42:23 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-0] Initializing new inference engine (config hash: 6e98d1e9)
2026-05-08 13:42:33 | Controller | INFO | controller.py:1192 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 3 completed all 4 shards
2026-05-08 13:42:33 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 3 completed shard 3 (1 batches, 14.14s)
2026-05-08 13:42:33 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 1 for shard 3 (1 batches)
